fund_symbol,inception_date,fund_net_annual_expense_ratio,fund_yield,fund_return_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,rating,risk_rating,return_rating,investment_type,size_type,median_market_cap,net_asset_value,fund_return_ytd
FJPCX,2010-12-13,2.01,0.0,4.96,76.58,15.16,0.29,4.12,4.77,0.82,0.5,4.0,3.0,4.0,Growth,Large,13010.58,782370000.0,7.04
FJPDX,2013-12-11,1.8,0.0,-7.06,69.62,14.43,-0.55,-9.64,-15.86,0.92,-0.52,1.0,2.0,1.0,Growth,Medium,3559.83,6670000.0,-12.91
FJPIX,2010-12-13,0.96,0.67,6.05,76.58,15.17,0.36,5.45,5.82,0.82,0.59,4.0,3.0,4.0,Growth,Large,13010.58,782370000.0,8.0
FJPNX,1992-09-14,1.01,0.59,5.98,76.65,15.21,0.35,5.35,5.75,0.82,0.58,3.0,3.0,3.0,Growth,Large,13010.58,782370000.0,7.86
FJPTX,2010-12-13,1.64,0.15,5.35,76.53,15.19,0.31,4.59,5.15,0.82,0.53,4.0,3.0,4.0,Growth,Large,13010.58,782374464.0,7.35
FJRLX,2013-10-31,0.45,2.05,3.57,44.61,2.77,0.71,3.62,0.09,0.55,0.3,4.0,3.0,4.0,Value,Medium,0.0,3890000000.0,4.25
FJSCX,1995-10-31,0.94,1.28,1.47,59.22,13.85,0.06,-0.18,1.12,0.66,0.2,4.0,4.0,4.0,Blend,Medium,1878.38,523690000.0,-3.42
FJSIX,2001-08-29,1.04,4.88,1.81,2.7,11.48,0.08,0.41,-1.02,0.56,0.21,2.0,5.0,2.0,Value,Small,0.0,168430000.0,-5.29
FJSYX,2001-08-29,0.79,5.12,2.06,2.61,11.52,0.1,0.86,-0.74,0.55,0.23,2.0,5.0,3.0,Value,Small,0.0,168430000.0,-4.94
FJTKX,2017-06-06,0.5,1.68,6.0,98.05,15.91,0.35,2.95,-0.9,1.5,0.59,3.0,3.0,4.0,Blend,Large,45255.94,15400000000.0,0.53
FKACX,1999-06-22,1.7,0.0,18.43,88.2,20.09,0.86,15.93,6.89,1.06,1.58,3.0,4.0,3.0,Growth,Large,116569.43,4820000000.0,25.66
FKAIX,2015-12-29,0.91,0.29,20.75,77.58,21.59,0.91,18.0,9.12,1.06,1.77,5.0,2.0,4.0,Growth,Medium,3755.94,7320000000.0,15.37
FKALX,2017-08-31,0.9,0.23,20.76,77.6,21.58,0.91,18.01,9.14,1.06,1.78,5.0,2.0,4.0,Growth,Medium,3755.94,7320000000.0,15.4
FKARX,2002-01-01,1.2,0.0,19.02,88.24,20.11,0.89,16.47,7.39,1.06,1.63,3.0,4.0,3.0,Growth,Large,116569.43,4820000000.0,26.19
FKASX,2002-12-17,1.37,0.03,20.19,77.55,21.58,0.89,17.49,8.66,1.06,1.74,4.0,3.0,4.0,Growth,Medium,3755.94,7320000000.0,14.94
FKBAX,1998-08-02,0.88,3.04,3.81,44.05,5.68,0.41,2.0,-1.5,1.12,0.33,2.0,4.0,2.0,Value,Small,0.0,5080000000.0,4.25
FKBSX,2002-12-17,2.04,0.0,19.45,77.63,21.58,0.86,16.78,8.03,1.06,1.68,4.0,3.0,4.0,Growth,Medium,3755.94,7320000000.0,14.34
FKCCX,2014-02-09,1.73,1.74,2.78,97.28,4.18,0.3,1.16,-1.33,1.03,0.24,2.0,3.0,2.0,Blend,Medium,0.0,353460000.0,1.55
FKCIX,1992-09-20,0.59,2.36,2.73,96.91,3.62,0.33,1.29,-1.05,0.89,0.23,4.0,3.0,4.0,Blend,Medium,0.0,1790000000.0,1.98
FKCSX,2002-12-17,2.02,0.0,19.45,77.59,21.59,0.86,16.78,8.03,1.06,1.68,4.0,3.0,4.0,Growth,Medium,3755.94,7320000000.0,14.34
