fund_symbol,inception_date,fund_net_annual_expense_ratio,fund_yield,fund_return_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,rating,risk_rating,return_rating,investment_type,size_type,median_market_cap,net_asset_value,fund_return_ytd
AAAAX,2007-07-29,1.22,1.22,3.03,85.8,12.46,0.18,1.32,-2.51,1.09,0.31,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.6
AAADX,2011-12-29,1.43,2.8,9.71,87.23,8.46,0.93,6.82,0.17,1.17,0.8,4.0,5.0,5.0,Blend,Large,168478.91,89380000.0,0.3
AAAGX,1999-10-28,1.12,0.0,19.44,90.82,19.81,0.92,16.87,7.68,1.06,1.65,3.0,4.0,3.0,Growth,Large,340488.16,1490000000.0,24.2
AAAIX,2000-07-31,0.63,1.77,6.79,98.48,14.93,0.41,3.7,0.07,1.41,0.64,4.0,3.0,4.0,Blend,Large,29418.97,707250000.0,3.17
AAANX,2012-01-30,1.45,0.69,3.04,95.21,18.26,0.17,0.86,-4.19,1.69,0.39,3.0,5.0,4.0,Blend,Large,56230.3,495510000.0,-3.26
AAAPX,2007-07-29,1.97,0.45,2.26,85.68,12.4,0.12,0.62,-3.24,1.09,0.25,2.0,3.0,2.0,Blend,Large,18592.11,697910000.0,-8.2
AAAQX,2011-05-31,1.47,0.95,2.76,85.64,12.41,0.16,1.08,-2.75,1.09,0.29,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.88
AAARX,2005-03-30,1.33,1.06,6.03,98.41,14.96,0.36,3.15,-0.65,1.41,0.58,3.0,3.0,4.0,Blend,Large,29418.97,707250000.0,2.57
AAASX,2007-07-29,1.07,1.38,3.16,85.77,12.45,0.19,1.44,-2.38,1.09,0.32,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.54
AAATX,2007-01-31,0.67,1.98,4.38,97.97,6.73,0.44,4.41,0.22,0.63,0.38,3.0,3.0,2.0,Value,Large,88395.56,3840000000.0,1.52
AAAUX,2013-07-25,0.48,1.92,6.94,98.52,14.93,0.42,3.8,0.21,1.41,0.65,4.0,3.0,4.0,Blend,Large,29418.97,707250000.0,3.32
AAAVX,2014-11-27,0.95,1.5,3.28,85.8,12.4,0.2,1.56,-2.24,1.09,0.33,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.51
AAAWX,2017-06-04,1.22,1.22,3.03,85.58,12.44,0.18,1.32,-2.5,1.09,0.31,3.0,3.0,4.0,Blend,Large,18592.11,697910000.0,-7.7
AAAZX,2007-07-29,0.95,1.5,3.28,85.95,12.4,0.2,1.56,-2.25,1.09,0.33,3.0,3.0,3.0,Blend,Large,18592.11,697910000.0,-7.51
AABAX,2011-05-01,1.22,1.19,5.64,97.18,9.52,0.46,4.55,0.54,0.89,0.5,3.0,1.0,3.0,Blend,Large,85255.66,46540000.0,3.06
AABCX,1994-08-31,1.73,0.98,3.42,97.49,11.59,0.21,1.69,-2.21,1.09,0.34,3.0,3.0,3.0,Blend,Large,80027.44,2550000000.0,0.49
AABFX,1997-12-28,1.06,1.99,3.36,96.07,11.78,0.21,1.62,-2.28,1.1,0.33,3.0,5.0,4.0,Blend,Large,46792.92,343780000.0,-2.09
AABPX,1994-07-31,0.97,1.52,2.05,94.62,13.61,0.1,0.37,-4.0,1.25,0.25,3.0,4.0,3.0,Value,Large,41170.13,172850000.0,-7.87
AABTX,2007-01-31,0.66,1.98,4.59,98.21,7.42,0.43,4.3,0.19,0.7,0.4,3.0,2.0,3.0,Value,Large,89333.07,5310000000.0,1.35
AABUX,2016-04-25,0.65,3.66,8.78,99.15,17.63,0.47,6.84,-2.02,1.04,0.83,3.0,3.0,3.0,Blend,Large,116068.98,30300000.0,-4.86
AACBX,2014-12-30,1.9,0.61,4.9,97.24,9.57,0.38,3.69,-0.19,0.9,0.44,3.0,1.0,2.0,Blend,Large,85255.66,46540000.0,2.37
AACCX,2004-09-29,1.86,0.23,4.33,97.62,9.15,0.34,3.19,-0.61,0.86,0.39,3.0,3.0,3.0,Blend,Large,30571.21,386580000.0,3.17
AACDX,2013-07-25,0.51,1.34,5.78,97.96,9.12,0.49,4.89,0.78,0.86,0.5,4.0,3.0,4.0,Blend,Large,30571.21,386580000.0,4.3
AACFX,2006-03-30,1.76,0.86,6.87,58.93,17.02,0.38,6.56,6.87,0.81,0.67,3.0,2.0,3.0,Growth,Large,31990.4,81190000.0,20.68
AACGX,2017-04-09,0.66,1.19,5.56,98.03,9.21,0.46,4.58,0.54,0.87,0.49,4.0,3.0,4.0,Blend,Large,30571.21,386580000.0,4.0
AACIX,2005-11-29,0.93,1.96,-4.64,85.46,26.55,-0.1,-4.54,-16.2,1.37,-0.08,2.0,5.0,2.0,Value,Medium,7774.75,288930000.0,-18.23
AACOX,2014-12-30,2.07,0.24,-0.59,87.06,14.55,-0.08,-1.69,-6.66,1.29,0.04,1.0,3.0,1.0,Growth,Large,24007.22,34180000.0,1.36
AACRX,2005-03-30,1.36,0.51,4.79,97.85,9.18,0.38,3.72,-0.18,0.86,0.43,3.0,3.0,3.0,Blend,Large,30571.21,386580000.0,3.47
AACTX,2007-01-31,0.66,1.8,5.06,98.29,7.91,0.46,4.66,0.47,0.74,0.44,4.0,3.0,4.0,Value,Large,92934.28,16800000000.0,2.01
AADAX,2004-04-29,1.07,1.29,3.07,98.55,14.37,0.17,1.1,-3.33,1.35,0.34,3.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.17
AADBX,1987-07-16,0.66,1.53,2.34,94.67,13.6,0.12,0.6,-3.72,1.25,0.27,3.0,4.0,3.0,Value,Large,41170.13,172850000.0,-7.7
AADCX,2004-04-29,1.82,0.6,2.27,98.58,14.34,0.12,0.5,-4.11,1.35,0.27,2.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.77
AADDX,2008-11-04,1.18,3.08,9.99,87.16,8.46,0.96,7.06,0.43,1.17,0.83,5.0,5.0,5.0,Blend,Large,168478.91,89380000.0,0.3
AADEX,1987-07-16,0.63,2.43,0.47,92.18,20.77,0.05,-1.0,-10.01,1.12,0.22,3.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.68
AADGX,2016-03-31,1.0,1.21,3.51,87.14,18.79,0.2,1.96,-6.1,0.98,0.44,3.0,2.0,3.0,Blend,Medium,13177.35,57160000.0,-5.15
AADIX,2004-04-29,0.73,1.62,3.4,98.58,14.32,0.2,1.34,-3.0,1.35,0.36,3.0,3.0,3.0,Blend,Medium,13810.62,933350000.0,-2.9
AADRX,2004-04-29,1.32,1.04,2.8,98.57,14.33,0.15,0.9,-3.58,1.35,0.32,2.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.37
AADSX,2009-09-24,0.97,1.39,3.16,98.54,14.36,0.18,1.16,-3.24,1.35,0.35,3.0,3.0,2.0,Blend,Medium,13810.62,933350000.0,-3.11
AADTX,2007-01-31,0.69,1.4,5.95,97.93,9.39,0.49,4.94,0.85,0.88,0.52,5.0,3.0,5.0,Blend,Large,95651.18,26220000000.0,3.13
AADYX,2008-10-02,0.82,1.54,3.3,98.57,14.32,0.19,1.27,-3.09,1.35,0.36,3.0,3.0,3.0,Blend,Medium,13810.62,933350000.0,-2.99
AAEMX,2010-12-28,1.55,4.07,4.78,85.51,19.84,0.25,2.82,5.56,1.13,0.55,4.0,3.0,4.0,Growth,Large,22247.27,21620000.0,16.06
AAERX,2017-02-27,0.69,3.7,-6.23,94.78,18.52,-0.34,-7.06,-5.75,1.11,-0.39,3.0,4.0,3.0,Value,Large,37586.17,2050000000.0,-20.13
AAESX,2017-04-03,0.73,1.62,3.38,98.59,14.38,0.19,1.32,-3.04,1.36,0.36,3.0,3.0,3.0,Blend,Medium,13810.62,933350000.0,-2.97
AAETX,2007-01-31,0.71,1.27,6.34,98.02,11.14,0.46,4.53,0.69,1.05,0.56,5.0,3.0,5.0,Blend,Large,84321.01,28990000000.0,2.77
AAFTX,2007-01-31,0.72,1.05,7.02,98.02,13.43,0.45,4.3,0.69,1.26,0.64,5.0,3.0,5.0,Blend,Large,77004.44,23870000000.0,2.79
AAGOX,1989-01-08,0.89,0.0,22.13,81.4,20.92,0.98,19.4,10.15,1.06,1.86,4.0,4.0,4.0,Growth,Large,168122.89,368180000.0,39.99
AAGPX,1994-07-31,0.96,2.24,0.14,92.2,20.73,0.04,-1.3,-10.33,1.11,0.19,2.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.89
AAGTX,2007-01-31,0.73,0.95,7.24,98.08,14.37,0.45,4.18,0.64,1.35,0.67,5.0,2.0,5.0,Blend,Large,73378.72,20810000000.0,2.72
AAHMX,2013-05-30,0.9,2.85,2.16,76.31,3.19,0.2,0.83,-1.13,0.69,0.18,1.0,1.0,1.0,Value,Small,0.0,292660000.0,-0.22
AAHTX,2007-01-31,0.72,0.9,7.34,97.99,14.68,0.45,4.17,0.67,1.38,0.68,5.0,2.0,5.0,Blend,Large,73865.65,16080000000.0,2.73
AAHYX,1997-01-07,1.0,2.55,3.41,92.86,8.29,0.26,2.4,-1.13,0.76,0.31,3.0,3.0,3.0,Blend,Large,44795.88,1040000000.0,-0.3
AAIEX,1991-08-06,0.73,3.67,-6.31,94.89,18.51,-0.34,-7.13,-5.83,1.11,-0.4,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.21
AAIIX,2004-01-04,1.39,4.34,2.7,9.81,10.12,0.16,1.19,-1.6,0.94,0.27,3.0,5.0,4.0,Value,Medium,14185.37,18330000.0,-1.47
AAINX,1987-07-15,0.92,3.2,2.55,8.4,5.68,0.19,1.97,-0.57,0.49,0.22,3.0,2.0,2.0,Value,Medium,14056.97,772000000.0,0.55
AAIPX,1994-07-31,1.05,3.28,-6.64,94.9,18.47,-0.36,-7.44,-6.19,1.11,-0.43,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.43
AAISX,2003-04-30,1.2,3.03,-6.77,94.81,18.5,-0.37,-7.55,-6.32,1.11,-0.44,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.53
AALGX,1987-07-15,1.01,1.2,3.54,92.94,17.67,0.2,1.87,3.94,1.05,0.42,3.0,3.0,3.0,Blend,Large,50344.78,1690000000.0,-2.93
AALRX,2017-02-27,0.59,2.46,0.51,92.17,20.79,0.05,-0.97,-9.98,1.12,0.23,2.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.62
AALTX,2007-01-31,0.73,0.81,7.44,97.85,14.91,0.45,4.18,0.7,1.4,0.69,5.0,2.0,5.0,Blend,Large,75733.97,13680000000.0,2.77
AAMAX,2015-12-17,2.12,0.38,0.65,83.89,10.14,-0.04,-1.06,-4.21,0.88,0.1,3.0,2.0,3.0,Blend,Large,131505.55,20290000.0,-3.7
AAMCX,2015-12-17,2.87,0.0,-0.12,83.89,10.19,-0.12,-1.92,-4.99,0.89,0.03,2.0,2.0,2.0,Blend,Large,131505.55,20290000.0,-4.38
AAMIX,2015-12-17,1.87,0.52,0.69,83.89,10.15,-0.04,-1.01,-4.17,0.88,0.1,3.0,2.0,3.0,Blend,Large,131505.55,20290000.0,-3.7
AAMOX,2008-01-01,1.05,0.0,21.2,67.14,26.7,0.8,16.01,9.1,1.22,1.91,4.0,5.0,4.0,Growth,Medium,4379.92,2870000.0,25.4
AAMPX,2010-12-26,1.34,0.0,2.17,75.28,25.36,0.14,0.35,-8.67,1.3,0.45,1.0,4.0,2.0,Growth,Small,803.25,14090000.0,-4.89
AAMTX,2010-01-31,0.74,0.77,7.42,97.9,14.95,0.45,4.16,0.68,1.4,0.69,5.0,1.0,5.0,Blend,Large,76305.89,8020000000.0,2.76
AANTX,2015-03-26,0.78,0.72,7.4,97.87,14.92,0.45,4.15,0.66,1.4,0.69,5.0,1.0,5.0,Blend,Large,76502.59,3290000000.0,2.65
AAOPX,2011-08-31,1.32,0.71,0.17,87.07,14.51,-0.02,-1.1,-5.88,1.29,0.1,2.0,3.0,1.0,Growth,Large,24007.22,34180000.0,1.97
AAPEX,2009-11-15,1.35,1.22,6.72,83.19,18.27,0.36,5.0,7.05,1.03,0.68,3.0,3.0,3.0,Blend,Large,83891.5,6090000.0,8.85
AAPIX,2009-11-15,1.25,1.16,6.82,82.98,18.3,0.36,5.1,7.15,1.03,0.69,3.0,3.0,3.0,Blend,Large,83891.5,6090000.0,8.87
AARMX,2013-09-19,1.52,1.75,3.97,60.03,5.93,0.42,3.53,-1.22,0.68,0.34,4.0,2.0,3.0,Blend,Large,53585.67,10070000.0,1.78
AASCX,1993-06-29,1.04,0.16,5.67,89.13,21.26,0.29,3.63,-4.94,1.12,0.65,4.0,4.0,5.0,Blend,Medium,13334.76,2250000000.0,0.21
AASMX,1996-06-30,1.15,0.28,4.09,84.28,22.27,0.22,2.18,-6.43,1.14,0.55,2.0,3.0,2.0,Blend,Small,2631.03,665460000.0,-4.14
AASOX,1988-09-20,0.98,0.0,22.37,64.14,23.07,0.92,20.07,11.02,1.04,1.91,5.0,3.0,5.0,Growth,Medium,8687.76,270430000.0,37.64
AASRX,2017-02-27,0.8,1.47,-4.84,82.01,26.4,-0.11,-4.81,-16.16,1.34,-0.11,3.0,4.0,3.0,Value,Small,2045.84,4560000000.0,-18.79
AASSX,2003-04-30,1.34,0.92,-5.33,82.06,26.41,-0.13,-5.16,-16.68,1.34,-0.15,3.0,4.0,3.0,Value,Small,2045.84,4560000000.0,-19.13
AATIX,2013-01-01,1.29,0.06,0.37,85.46,21.92,0.06,-1.08,-10.01,1.13,0.24,4.0,2.0,3.0,Blend,Small,3281.96,116360000.0,-10.87
AATSX,2015-06-18,1.02,0.32,0.64,85.59,21.97,0.07,-0.83,-9.76,1.14,0.26,4.0,2.0,4.0,Blend,Small,3281.96,116360000.0,-10.65
AAUPX,2010-12-26,1.52,0.0,1.98,71.82,26.66,0.14,0.19,-8.85,1.33,0.46,1.0,5.0,1.0,Growth,Small,625.34,9890000.0,-2.46
AAUTX,1999-10-28,0.9,1.75,1.03,94.03,19.43,0.07,-0.52,-9.13,1.05,0.24,3.0,4.0,3.0,Value,Large,78725.81,1060000000.0,-13.14
AAWEX,2014-02-03,1.18,2.11,-12.79,82.2,27.23,-0.42,-9.88,-19.0,1.46,-0.82,5.0,1.0,5.0,Value,Medium,16880.45,11810000.0,-24.6
AAWVX,2016-12-29,1.06,0.56,4.32,91.41,17.42,0.24,2.93,-5.11,0.93,0.48,4.0,1.0,3.0,Blend,Medium,13478.06,937560.0,-1.99
AAZAX,1994-05-31,0.78,2.6,2.97,91.01,4.35,0.34,1.34,-1.15,1.03,0.25,4.0,5.0,4.0,Value,Medium,0.0,114950000.0,1.01
AAZBX,1994-05-31,1.54,2.04,2.34,98.4,3.0,0.24,0.8,-0.97,0.86,0.2,3.0,4.0,3.0,Blend,Medium,0.0,118660000.0,5.64
AAZCX,1994-05-31,1.53,1.86,2.17,91.29,4.36,0.16,0.56,-1.94,1.04,0.19,2.0,5.0,2.0,Value,Medium,0.0,114950000.0,0.3
ABAEX,2011-08-30,1.24,4.38,1.19,86.39,17.11,0.06,-0.41,1.51,0.98,0.22,3.0,1.0,2.0,Value,Large,28997.74,163700000.0,0.15
ABALX,1975-07-24,0.59,1.88,6.45,97.04,10.28,0.51,5.06,1.08,0.96,0.57,5.0,2.0,5.0,Blend,Large,122317.43,166160000000.0,1.13
ABAMX,2008-12-28,0.9,4.94,4.88,96.6,11.45,0.33,2.88,-1.31,1.11,0.45,2.0,2.0,2.0,Blend,Large,44712.0,25260000.0,-1.58
ABASX,2001-03-28,1.13,0.89,-4.21,83.04,24.04,-0.12,-4.73,-15.03,1.23,-0.11,2.0,4.0,2.0,Value,Small,3730.87,2310000000.0,-16.73
ABBSX,2001-03-28,1.88,0.14,6.7,74.19,16.54,0.37,4.27,-9.21,1.18,0.65,2.0,4.0,3.0,Value,Medium,4022.26,2900000000.0,13.03
ABCAX,2012-05-28,1.05,1.68,7.62,94.88,16.47,0.43,6.72,-1.8,0.9,0.73,5.0,2.0,4.0,Value,Large,150726.47,1280000000.0,-3.8
ABCCX,2010-08-31,1.76,0.98,1.35,94.61,13.61,0.05,-0.19,-4.7,1.26,0.19,2.0,4.0,2.0,Value,Large,41170.13,172850000.0,-8.44
ABCEX,2011-08-30,1.99,3.64,0.43,86.31,17.09,0.02,-1.18,0.76,0.98,0.16,2.0,1.0,2.0,Value,Large,28997.74,163700000.0,-0.4
ABCIX,2012-05-28,0.73,1.93,7.93,94.93,16.44,0.45,7.07,-1.5,0.9,0.75,5.0,2.0,5.0,Value,Large,150726.47,1280000000.0,-3.61
ABCSX,2001-03-28,1.88,0.03,-4.93,83.04,24.0,-0.15,-5.32,-15.77,1.22,-0.17,2.0,4.0,2.0,Value,Small,3730.87,2310000000.0,-17.27
ABCVX,2012-05-28,1.06,1.65,7.59,94.94,16.48,0.43,6.68,-1.83,0.9,0.72,5.0,2.0,4.0,Value,Large,150726.47,1280000000.0,-3.84
ABCYX,2012-05-28,0.8,1.88,7.88,94.96,16.45,0.45,7.02,-1.55,0.9,0.75,5.0,2.0,4.0,Value,Large,150726.47,1280000000.0,-3.62
ABDAX,2004-03-03,0.96,1.73,3.64,89.33,5.73,0.38,3.98,-0.05,0.51,0.31,3.0,3.0,3.0,Blend,Large,53787.5,237120000.0,2.95
ABECX,2012-05-28,1.82,0.95,6.8,94.96,16.43,0.39,5.82,-2.56,0.9,0.66,4.0,2.0,4.0,Value,Large,150726.47,1280000000.0,-4.42
ABEIX,1986-03-16,0.5,2.9,2.58,91.94,4.14,0.26,1.0,-1.43,0.99,0.22,3.0,3.0,3.0,Blend,Medium,0.0,65180000.0,0.59
ABEMX,2007-05-10,1.1,1.71,3.89,81.94,20.58,0.21,2.0,4.87,1.15,0.5,4.0,4.0,4.0,Growth,Large,92002.36,4010000000.0,5.43
ABERX,2013-02-24,1.01,2.49,3.35,96.33,2.02,0.79,2.11,-0.92,0.76,0.28,2.0,2.0,2.0,Blend,Medium,0.0,71290000.0,1.5
ABESX,2013-02-24,0.5,2.89,2.65,90.72,4.11,0.28,1.09,-1.32,0.98,0.23,3.0,3.0,3.0,Blend,Medium,0.0,65180000.0,0.58
ABEYX,2009-08-02,0.8,3.43,-6.38,94.81,18.49,-0.35,-7.19,-5.9,1.11,-0.4,3.0,3.0,3.0,Value,Large,37586.17,2050000000.0,-20.21
ABFAX,2010-05-16,1.01,1.52,2.07,94.76,13.59,0.1,0.39,-3.98,1.25,0.25,3.0,4.0,3.0,Value,Large,41170.13,172850000.0,-7.97
ABGNX,2017-04-09,0.71,1.4,7.16,94.68,10.75,0.55,5.61,1.66,0.99,0.63,4.0,2.0,4.0,Blend,Large,108458.15,944720000.0,4.3
ABHFX,2001-03-18,0.7,3.32,4.13,79.09,6.38,0.42,1.8,-0.88,1.42,0.36,3.0,2.0,3.0,Growth,Small,0.0,7740000000.0,0.83
ABHIX,1997-09-29,0.78,4.47,3.31,4.63,7.65,0.26,3.53,0.3,0.49,0.3,3.0,2.0,3.0,Value,Medium,8798.35,130660000.0,0.9
ABHTX,2017-04-09,0.37,1.9,4.4,72.26,3.14,0.9,3.59,0.1,0.78,0.36,4.0,3.0,4.0,Blend,Large,0.0,1020000000.0,6.27
ABHYX,1998-03-30,0.6,3.43,4.23,80.07,7.29,0.39,1.62,-1.27,1.64,0.37,3.0,3.0,3.0,Growth,Small,0.0,727610000.0,0.66
ABIAX,2001-03-28,1.61,1.35,-9.19,94.94,19.84,-0.46,-9.06,-8.61,1.19,-0.63,1.0,4.0,1.0,Value,Large,17564.3,112820000.0,-18.14
ABIBX,2001-03-28,2.24,0.0,1.71,92.14,13.44,0.07,0.05,-6.68,1.12,0.22,1.0,5.0,1.0,Blend,Large,22450.86,172190000.0,11.65
ABICX,2001-03-28,2.37,0.01,-9.86,94.94,19.86,-0.5,-9.61,-9.34,1.19,-0.69,1.0,4.0,1.0,Value,Large,17564.3,112820000.0,-18.66
ABIEX,2011-08-30,0.99,4.66,1.44,86.45,17.09,0.08,-0.15,1.75,0.98,0.24,3.0,1.0,2.0,Value,Large,28997.74,163700000.0,0.43
ABIMX,2017-09-11,0.0,3.03,5.01,92.96,5.86,0.6,2.43,-0.05,1.41,0.42,4.0,2.0,4.0,Blend,Medium,0.0,350940000.0,2.06
ABINX,2000-04-30,0.71,1.4,7.16,94.76,10.73,0.55,5.61,1.66,0.99,0.62,4.0,2.0,4.0,Blend,Large,108458.15,944720000.0,4.25
ABIYX,2001-03-28,1.36,1.59,-8.95,94.87,19.87,-0.45,-8.85,-8.35,1.19,-0.61,1.0,5.0,1.0,Value,Large,17564.3,112820000.0,-17.96
ABIZX,2017-09-28,0.82,1.46,-3.74,86.88,23.87,-0.1,-4.28,-14.88,1.24,-0.08,2.0,3.0,2.0,Value,Medium,6516.53,446680000.0,-13.13
ABKEX,2011-08-30,1.24,4.24,1.17,86.38,17.19,0.06,-0.42,1.51,0.98,0.22,3.0,1.0,2.0,Value,Large,28997.74,163700000.0,0.14
ABKYX,2008-10-02,0.75,2.72,2.01,98.5,11.48,0.08,0.24,-2.84,1.14,0.22,2.0,3.0,2.0,Blend,Large,19586.7,626470000.0,-11.0
ABLAX,2008-12-28,0.95,5.05,4.83,96.62,11.48,0.32,2.82,-1.38,1.11,0.45,2.0,2.0,2.0,Blend,Large,44712.0,25260000.0,-1.66
ABLCX,2008-12-28,1.7,4.36,4.04,96.57,11.46,0.26,2.12,-2.13,1.11,0.39,1.0,2.0,1.0,Blend,Large,44712.0,25260000.0,-2.0
ABLIX,2008-12-28,0.55,5.34,5.24,96.6,11.45,0.36,3.21,-0.97,1.11,0.48,2.0,2.0,2.0,Blend,Large,44712.0,25260000.0,-1.42
ABLOX,1989-09-04,1.1,1.43,6.05,93.92,10.8,0.45,4.49,0.62,0.99,0.54,4.0,2.0,4.0,Blend,Large,246890.66,48040000.0,0.64
ABLPX,2008-12-28,0.65,4.99,5.12,96.59,11.46,0.34,3.09,-1.09,1.11,0.47,2.0,2.0,2.0,Blend,Large,44712.0,25260000.0,-1.53
ABLRX,2008-12-28,1.3,4.29,4.45,96.63,11.47,0.29,2.48,-1.74,1.11,0.42,1.0,2.0,1.0,Blend,Large,44712.0,25260000.0,-1.81
ABLSX,2005-05-30,1.14,1.3,1.87,94.64,13.61,0.09,0.23,-4.18,1.26,0.23,3.0,4.0,3.0,Value,Large,41170.13,172850000.0,-8.07
ABLYX,2009-08-02,0.7,2.39,0.39,92.14,20.76,0.05,-1.07,-10.08,1.12,0.22,3.0,4.0,3.0,Value,Large,52853.51,3790000000.0,-14.73
ABMAX,2010-05-16,1.35,1.14,-5.04,85.38,26.56,-0.11,-4.83,-16.61,1.37,-0.12,2.0,5.0,2.0,Value,Medium,7774.75,288930000.0,-18.5
ABMIX,2004-07-05,0.9,1.25,-3.81,86.89,23.88,-0.11,-4.34,-14.96,1.25,-0.08,2.0,4.0,2.0,Value,Medium,6516.53,446680000.0,-13.18
ABNAX,2010-01-25,1.25,1.99,4.48,22.73,5.12,0.57,3.97,0.44,0.73,0.38,3.0,4.0,3.0,Value,Large,16539.98,571940000.0,6.45
ABNCX,2010-01-25,1.99,1.47,3.7,22.38,5.12,0.43,2.92,-0.29,0.72,0.31,2.0,4.0,2.0,Value,Large,16539.98,571940000.0,5.84
ABNDX,1974-05-27,0.61,1.91,5.41,95.0,3.29,1.14,4.02,0.49,0.95,0.44,4.0,3.0,4.0,Blend,Medium,0.0,66160000000.0,8.71
ABNFX,2008-08-03,0.34,2.16,5.68,95.03,3.29,1.22,4.3,0.75,0.95,0.47,4.0,3.0,4.0,Blend,Medium,0.0,66160000000.0,8.94
ABNIX,2009-07-19,1.0,1.31,7.84,88.74,18.59,0.41,5.8,8.2,1.08,0.78,4.0,2.0,4.0,Growth,Medium,3602.47,138900000.0,7.2
ABNKX,2010-01-25,1.28,1.98,4.46,22.27,5.1,0.57,4.0,0.46,0.72,0.38,3.0,4.0,3.0,Value,Large,16539.98,571940000.0,6.45
ABNOX,2010-01-25,1.07,2.34,4.64,22.51,5.1,0.6,4.23,0.62,0.72,0.39,4.0,4.0,4.0,Value,Large,16539.98,571940000.0,6.57
ABNRX,2010-01-25,1.47,1.61,4.23,22.0,5.1,0.53,3.7,0.26,0.71,0.36,3.0,4.0,3.0,Value,Large,16539.98,571940000.0,6.2
ABNTX,2010-01-25,0.96,2.44,4.72,22.11,5.13,0.62,4.35,0.71,0.72,0.4,4.0,4.0,4.0,Value,Large,16539.98,571940000.0,6.67
ABNYX,2010-01-25,0.97,2.25,4.75,22.6,5.08,0.63,4.39,0.73,0.72,0.4,4.0,4.0,4.0,Value,Large,16539.98,571940000.0,6.69
ABNZX,2014-12-10,0.96,2.42,4.73,22.12,5.1,0.62,4.39,0.73,0.72,0.4,4.0,4.0,4.0,Value,Large,16539.98,571940000.0,6.63
ABPAX,2003-09-01,1.25,3.24,1.88,89.71,9.54,0.08,0.34,-2.93,0.86,0.19,2.0,3.0,1.0,Blend,Large,42877.59,148770000.0,-3.58
ABPBX,2003-09-01,2.05,0.0,4.1,89.43,4.69,0.53,3.7,-2.01,0.66,0.34,1.0,2.0,1.0,Blend,Large,31750.69,176640000.0,11.61
ABPCX,2003-09-01,2.0,2.34,1.08,89.73,9.5,0.0,-0.6,-3.71,0.85,0.13,1.0,3.0,1.0,Blend,Large,42877.59,148770000.0,-4.21
ABPRX,2003-11-02,1.26,0.0,18.19,93.34,16.35,1.01,18.75,7.73,0.89,1.51,4.0,2.0,4.0,Growth,Large,135161.59,13690000000.0,17.75
ABPYX,2003-09-01,1.0,3.48,2.13,89.49,9.49,0.1,0.64,-2.66,0.85,0.21,2.0,3.0,2.0,Blend,Large,42877.59,148770000.0,-3.4
ABQBX,1999-06-30,1.52,2.55,2.5,96.09,2.84,0.31,1.0,-0.53,0.84,0.21,2.0,2.0,2.0,Blend,Medium,0.0,359270000.0,7.77
ABQCX,1999-06-30,1.52,2.15,3.48,35.61,6.07,0.34,1.76,-1.65,1.07,0.3,1.0,5.0,1.0,Value,Medium,14457.84,372950000.0,3.69
ABQIX,2005-02-28,0.52,3.11,4.53,36.34,6.08,0.5,2.71,-0.68,1.09,0.39,3.0,5.0,3.0,Value,Medium,14457.84,372950000.0,4.62
ABQKX,2005-02-28,0.77,2.87,4.27,36.17,6.08,0.46,2.48,-0.92,1.08,0.37,2.0,5.0,2.0,Value,Medium,14457.84,372950000.0,4.32
ABQRX,2003-11-02,1.02,2.62,3.98,36.08,6.08,0.42,2.22,-1.19,1.08,0.34,2.0,5.0,2.0,Value,Medium,14457.84,372950000.0,4.1
ABQUX,1999-06-30,0.77,2.87,4.24,36.68,6.1,0.46,2.43,-0.98,1.09,0.36,2.0,5.0,2.0,Value,Medium,14457.84,372950000.0,4.42
ABQYX,2000-10-09,0.52,3.12,4.5,36.34,6.09,0.5,2.68,-0.71,1.09,0.38,3.0,5.0,3.0,Value,Medium,14457.84,372950000.0,4.54
ABQZX,2014-04-24,0.52,3.11,4.49,36.06,6.07,0.5,2.7,-0.69,1.08,0.38,3.0,5.0,3.0,Value,Medium,14457.84,372950000.0,4.52
ABRCX,2009-06-01,2.08,5.75,1.35,84.42,8.05,0.01,-0.33,-2.93,0.7,0.14,3.0,1.0,3.0,Blend,Large,31805.64,2370000000.0,-3.06
ABREX,2011-08-30,1.49,3.91,0.94,86.34,17.09,0.05,-0.66,1.26,0.98,0.2,3.0,1.0,2.0,Value,Large,28997.74,163700000.0,0.01
ABRFX,2010-02-25,2.82,0.0,-0.89,73.16,10.8,-0.18,-2.82,-5.65,0.88,-0.03,2.0,4.0,2.0,Blend,Large,35959.68,12550000.0,-10.49
